"Variable / Field Name","Form Name","Section Header","Field Type","Field Label","Choices, Calculations, OR Slider Labels","Field Note","Text Validation Type OR Show Slider Number","Text Validation Min","Text Validation Max",Identifier?,"Branching Logic (Show field only if...)","Required Field?","Custom Alignment","Question Number (surveys only)","Matrix Group Name","Matrix Ranking?","Field Annotation"
subject_id,prescreen,,text,Subject_ID,,,,,,y,,,,,,,
screen_intro,prescreen,,yesno,"Hello [Patient's Name],
My name is [Your Name], and I am the [Study Coordinator] at the University of Florida. I am contacting you to see if you are interested in participating in a research study focused on understanding pain and recovery after knee and hip replacement surgery. During a past clinic visit,  you signed a consent form telling us you were interested in being  contacted for future research that you may qualify for.

Are you interested in hearing more about this research study?
",,,,,,,,,,,,," @HIDDEN-SURVEY"
screen_interest,prescreen,,yesno,"Do you have about 10-15 minutes now to talk about the study or should we schedule a more convenient time? [If now is fine, continue. If not, schedule a time to call them back.]
The purpose of this study is to identify factors that predict pain and function after undergoing knee or hip replacement. If you choose to participate, you will be one of 300 people to take part in this study. Your participation will require 5 visits over a period of nine months, with two of these visits occurring virtually (you will not be required to come in to our clinic). These sessions will last approximately 20 minutes to 2.5 hours. 
If eligible, a baseline research appointment will be scheduled. This appointment will take place within 2-4 weeks of your surgery. After the initial appointment, you will be asked to attend four visits over the course of 9 months after your surgery. 
During these visits, you will be asked to complete a series of questionnaires, a brief physical activity test, an exam assessing your perception of pressure and heat sensation, and heart rate monitoring.  You will also be asked to collect saliva at three of your visits and to wear a Garmin watch for collection of sleep and physical activity. In recognition of your time, you will be paid a maximum of $400 for completing the study. 

Does this study sound of interest to you?
",,,,,,,,,,,,," @HIDDEN-SURVEY"
screen_age1,prescreen,,dropdown,"Are you 18 years of age or older?","0, No | 1, Yes",,,,,,,y,LV,,,,
screen_oa,prescreen,,dropdown,"<div class=""rich-text-field-label""><p>Have you been diagnosed with knee or hip osteoarthritis?<br><em>(If you are unsure, please contact a member of the study team at (352) 273-8798)</em></p></div>","0, No | 1, Yes",,,,,,"[screen_age1] = '1'",y,LV,,,,
screen_surgery,prescreen,,dropdown,"<div class=""rich-text-field-label""><p>Are you undergoing <span style=""text-decoration: underline;"">elective</span> (i.e., non-emergency) knee or hip replacement surgery?</p></div>","0, No | 1, Yes",,,,,,"[screen_oa] = '1'",y,LV,,,,
screen_physician,prescreen,,dropdown,"Are you under the care of a physician at UF Health Orthopaedics and Sports Medicine Institute for your knee or hip replacement surgery?","0, No | 1, Yes",,,,,,"[screen_surgery] = '1'",y,LV,,,,
screen_name,prescreen,,text,"Physician's name (if known):",,,,,,,"[screen_physician] = '1'",,LV,,,,
screen_congrats,prescreen,,dropdown,"Congratulations, you are eligible to participate in the MAPP research study.  Would you like to be contacted by someone from our research team?","0, No | 1, Yes",,,,,,"[screen_age1] = '1' and [screen_oa] = '1' and [screen_surgery] = '1' and [screen_physician] = '1'",y,LV,,,," @HIDDEN"
screen_pt_name,prescreen," ",text,"First Name:",,,,,,,"[screen_age1] = '1' and [screen_oa] = '1' and [screen_surgery] = '1' and [screen_physician] = '1'",,LV,,,,
screen_last_name,prescreen,,text,"Last Name:",,,,,,,"[screen_age1] = '1' and [screen_oa] = '1' and [screen_surgery] = '1' and [screen_physician] = '1'",,LV,,,,
screen_phone,prescreen,,text,"Phone Number:",,,phone,,,,"[screen_age1] = '1' and [screen_oa] = '1' and [screen_surgery] = '1' and [screen_physician] = '1'",,LV,,,,
screen_email,prescreen,,text,"Email Address:",,,email,,,,"[screen_age1] = '1' and [screen_oa] = '1' and [screen_surgery] = '1' and [screen_physician] = '1'",,LV,,,,
screen_fail,prescreen,,descriptive,"Thank you for completing the MAPP study survey. At this time you do not meet all eligibility criteria to participate in this study.

Well wishes!
MAPP Study Team
",,,,,,,"[screen_age1] = '0' or [screen_oa] = '0' or [screen_surgery] = '0' or [screen_physician] = '0'",,,,,,
icf_video,contact_form,,descriptive,"Click to play the video below for additional information on the study",,,,,,,,,,,,,
icf_page1,econsent_form,,descriptive,,,,,,,,,,,,,,
icf_seeking_consent,econsent_form,,text,"Name of the person seeking your consent:",,,,,,y,,y,,,,,
icf_employment,econsent_form,,dropdown,"Place of employment:","1, University of Florida",,,,,,,y,,,,,
icf_position,econsent_form,,dropdown,Position,"1, Study Staff | 2, RA | 3, PI",,,,,,,y,,,,,
icf_participant_name,econsent_form,,text,"Name of participant:",,,,,,y,,y,,,,,
page1,econsent_form,,descriptive,"<center>Click on Next Page to go to Page 2</center>",,,,,,,,,,,,,
icf_page2,econsent_form," ",descriptive,,,,,,,,,,,,,,
page2,econsent_form,,descriptive,"<center>Click on Next Page to go to Page 3</center>",,,,,,,,,,,,,
icf_page3,econsent_form," ",descriptive,,,,,,,,,,,,,,
page3,econsent_form,,descriptive,"<center>Click on Next Page to go to Page 4</center>",,,,,,,,,,,,,
icf_page4,econsent_form," ",descriptive,,,,,,,,,,,,,,
page4,econsent_form,,descriptive,"<center>Click on Next Page to go to Page 5</center>",,,,,,,,,,,,,
icf_page5,econsent_form," ",descriptive,,,,,,,,,,,,,,
page5,econsent_form,,descriptive,"<center>Click on Next Page to go to Page 6</center>",,,,,,,,,,,,,
icf_page6,econsent_form," ",descriptive,,,,,,,,,,,,,,
page6,econsent_form,,descriptive,"<center>Click on Next Page to go to Page 7</center>",,,,,,,,,,,,,
icf_page7,econsent_form," ",descriptive,,,,,,,,,,,,,,
page7,econsent_form,,descriptive,"<center>Click on Next Page to go to Page 8</center>",,,,,,,,,,,,,
icf_page8,econsent_form," ",descriptive,,,,,,,,,,,,,,
page8,econsent_form,,descriptive,"<center>Click on Next Page to go to Page 9</center>",,,,,,,,,,,,,
icf_page9,econsent_form," ",descriptive,,,,,,,,,,,,,,
page9,econsent_form,,descriptive,"<center>Click on Next Page to go to Page 10</center>",,,,,,,,,,,,,
icf_page10,econsent_form," ",descriptive,,,,,,,,,,,,,,
icf_go_to_sign,econsent_form,,descriptive,"<center>Please click on Next Page to sign and consent to be in the study.<center>",,,,,,,,,,,,,
icf_page11,econsent_form," ",descriptive,,,,,,,,,,,,,,
icf_staff_signature,econsent_form,,file,"Signature of person obtaining consent and authorization",,,signature,,,y,,y,,,,,
icf_staff_date,econsent_form,,text,Date,,MM-DD-YYYY,date_mdy,,,,,y,,,,," @TODAY"
icf_pt_signature,econsent_form,,file,"Please click on the link to the right to add your signature.",,,signature,,,y,,y,,,,,
icf_pt_date,econsent_form,,text,"Today's date:",,MM-DD-YYYY,date_mdy,,,,,y,,,,," @TODAY"
icf_email,econsent_form,,text,"If you would like to receive a copy of your signed Informed Consent by email, please enter your email address here:",,"Note: Your email address will not be used for any other purpose.",email,,,y,,y,LV,,,,
icf_paper,econsent_form,,file,"Paper ICF Upload",,,,,,,,,,,,,
ss_current_status,study_status_eligibility,,dropdown,"Current Status","1, Active | 2, Discontinued from Study (Withdrawn/Dismissed) | 3, Completed | 4, In Follow-Up | 5, Screening Failure | 6, Ineligible | 7, Eligible | 8, Screened/Scheduled",,,,,,,y,,,,,
ss_scr_fail_rsn,study_status_eligibility,,dropdown,"Screening Failure Reason","1, Not >= 18 years of age | 2, Not have a radiologic diagnosis of knee or hip OA | 3, Not undergoing elective primary knee or hip arthroplasty | 4, Not Have an expected postoperative survival greater than six months | 5, Not cleared for surgery by the UF surgical and anesthesia teams | 6, An anticipated need for prolonged postoperative intubation | 7, Impaired cognitive status | 8, Paget syndrome | 9, ASA IV | 11, Undergoing non-elective TJA | 10, Diagnosis of preexisting lower extremity neuropathy | 12, Pregnancy or lactating female patients | 13, Certain neurological disorders | 14, Presence of lower extremity vascular disease | 15, Otherwise unsafe",,,,,,,,,,,,
ss_withdraw_reason,study_status_eligibility,,dropdown,"Discontinued Reason","1, Scheduling issues | 2, Lost to follow-up | 3, Health status change | 5, Personal reason | 6, Non-compliance | 7, Relocation | 8, Reason not known | 10, Adverse Event | 9, Other",,,,,,"[ss_current_status] = '2'",,,,,,
ss_withdraw_other,study_status_eligibility,,text,"Describe Other",,,,,,,"[ss_withdraw_reason] = '9'",,,,,,
ss_surgery_site,study_status_eligibility,,dropdown,"Surgery Site","1, Left Knee | 2, Right Knee | 3, Left Hip | 4, Right Hip",,,,,,,,,,,,
ss_surgery_date,study_status_eligibility,,text,"Surgery Date",,,date_mdy,,,,,,,,,,
ss_inclusion_age,study_status_eligibility,"Inclusion Criteria, all answers must be Yes to be included",yesno,">= 18 years of age",,,,,,,,,,,,,
ss_inclusion_oa,study_status_eligibility,,yesno,"Have a radiologic diagnosis of knee or hip OA",,,,,,,,,,,,,
ss_inclusion_arthroplasty,study_status_eligibility,,yesno,"Undergoing elective primary knee or hip arthroplasty",,,,,,,,,,,,,
ss_inclusion_survival,study_status_eligibility,,yesno,"Have an expected postoperative survival greater than six months",,,,,,,,,,,,,
ss_inclusion_cleared,study_status_eligibility,,yesno,"Must have been cleared for surgery by the UF surgical and anesthesia teams in accordance with American Society of Anesthesiologists' (ASA) recommendations",,,,,,,,,,,,,
ss_inclusion_score,study_status_eligibility,,calc,"Inclusion Score","[ss_inclusion_age] + [ss_inclusion_oa] + [ss_inclusion_arthroplasty] + [ss_inclusion_survival] + [ss_inclusion_cleared]",,,,,,,,,,,,
ss_exclusion_prolonged,study_status_eligibility,"Exclusion Criteria, all answers must be No to be included",yesno,"An anticipated need for prolonged postoperative intubation (greater than 24 hours)",,,,,,,,,,,,,
ss_exclusion_cognitive,study_status_eligibility,,yesno,"Impaired cognitive status or inability to understand or participate in study questionnaires or procedures ",,,,,,,,,,,,,
ss_exclusion_paget,study_status_eligibility,,yesno,"Paget syndrome ",,,,,,,,,,,,,
ss_exclusion_asa,study_status_eligibility,,yesno,"ASA IV status suggesting the presence of a medical condition which presents a constant threat to life (e.g., myocardial infarction",,,,,,,,,,,,,
ss_exclusion_neuropathy,study_status_eligibility,,yesno,"Diagnosis of preexisting lower extremity neuropathy",,,,,,,,,,,,,
ss_exclusion_tja,study_status_eligibility,,yesno,"Undergoing non-elective TJA",,,,,,,,,,,,,
ss_exclusion_pregnancy,study_status_eligibility,,yesno,"Pregnancy or lactating female patients",,,,,,,,,,,,,
ss_exclusion_neurological,study_status_eligibility,,yesno,"Certain neurological disorders (e.g. spinal cord injury and stroke with residual deficits)",,,,,,,,,,,,,
ss_exclusion_vascular,study_status_eligibility,,yesno,"Presence of lower extremity vascular disease that poses a significant medical risk (e.g., pulmonary embolism)",,,,,,,,,,,,,
ss_exclusion_other,study_status_eligibility,,yesno,"Presence of other medical conditions that in the opinion of study investigators would make a patient's study participation unsafe",,,,,,,,,,,,,
ss_exclusion_score,study_status_eligibility,,calc,"Exclusion Score","sum([ss_exclusion_prolonged], [ss_exclusion_cognitive], [ss_exclusion_paget], [ss_exclusion_asa], [ss_exclusion_neuropathy], [ss_exclusion_tja], [ss_exclusion_pregnancy], [ss_exclusion_neurological], [ss_exclusion_vascular], [ss_exclusion_other])",,,,,,,,,,,,
